Iteration,Gamma
547,1802959
548,1802916
549,1802873
550,1802830
551,1802787
552,1802744
553,1802701
554,1802658
555,1802615
556,1802572
557,1802529
558,1802487
559,1802444
560,1802401
561,1802358
562,1802316
563,1802273
564,1802231
565,1802188
566,1802146
567,1802103
568,1802061
569,1802018
570,1801976
571,1801934
572,1801891
573,1801849
574,1801807
575,1801765
576,1801722
577,1801680
578,1801638
579,1801596
580,1801554
581,1801512
582,1801470
583,1801428
584,1801386
585,1801344
586,1801303
587,1801261
588,1801219
589,1801177
590,1801136
591,1801094
592,1801052
593,1801011
594,1800969
595,1800928
596,1800886
597,1800845
598,1800803
599,1800762
600,1800720
601,1800679
602,1800638
603,1800597
604,1800555
605,1800514
606,1800473
607,1800432
608,1800391
609,1800350
610,1800309
611,1800268
612,1800227
613,1800186
614,1800145
615,1800104
616,1800063
617,1800022
618,1799981
619,1799941
620,1799900
621,1799859
622,1799818
623,1799778
624,1799737
625,1799697
626,1799656
627,1799616
628,1799575
629,1799535
630,1799494
631,1799454
632,1799413
633,1799373
634,1799333
635,1799293
636,1799252
637,1799212
638,1799172
639,1799132
640,1799092
641,1799052
642,1799011
643,1798971
644,1798931
645,1798891
646,1798852
647,1798812
648,1798772
649,1798732
650,1798692
651,1798652
652,1798612
653,1798573
654,1798533
655,1798493
656,1798454
657,1798414
658,1798374
659,1798335
660,1798295
661,1798256
662,1798216
663,1798177
664,1798137
665,1798098
666,1798059
667,1798019
668,1797980
669,1797941
670,1797901
671,1797862
672,1797823
673,1797784
674,1797745
675,1797706
676,1797667
677,1797627
678,1797588
679,1797549
680,1797510
681,1797471
682,1797433
683,1797394
684,1797355
685,1797316
686,1797277
687,1797238
688,1797200
689,1797161
690,1797122
691,1797083
692,1797045
693,1797006
694,1796968
695,1796929
696,1796890
697,1796852
698,1796813
699,1796775
700,1796736
701,1796698
702,1796660
703,1796621
704,1796583
705,1796545
706,1796506
707,1796468
708,1796430
709,1796392
710,1796353
711,1796315
712,1796277
713,1796239
714,1796201
715,1796163
716,1796125
717,1796087
718,1796049
719,1796011
720,1795973
721,1795935
722,1795897
723,1795859
724,1795821
725,1795784
726,1795746
727,1795708
728,1795670
729,1795633
730,1795595
731,1795557
732,1795520
733,1795482
734,1795445
735,1795407
736,1795369
737,1795332
738,1795294
739,1795257
740,1795220
741,1795182
742,1795145
743,1795107
744,1795070
745,1795033
746,1794995
747,1794958
748,1794921
749,1794884
750,1794847
751,1794809
752,1794772
753,1794735
754,1794698
755,1794661
756,1794624
757,1794587
758,1794550
759,1794513
760,1794476
761,1794439
762,1794402
763,1794365
764,1794328
765,1794291
766,1794255
767,1794218
768,1794181
769,1794144
770,1794108
771,1794071
772,1794034
773,1793997
774,1793961
775,1793924
776,1793888
777,1793851
778,1793815
779,1793778
780,1793741
781,1793705
782,1793669
783,1793632
784,1793596
785,1793559
786,1793523
787,1793487
788,1793450
789,1793414
790,1793378
791,1793341
792,1793305
793,1793269
794,1793233
795,1793197
796,1793160
797,1793124
798,1793088
799,1793052
800,1793016
801,1792980
802,1792944
803,1792908
804,1792872
805,1792836
806,1792800
807,1792764
808,1792728
809,1792692
810,1792657
811,1792621
812,1792585
813,1792549
814,1792513
815,1792478
816,1792442
817,1792406
818,1792371
819,1792335
820,1792299
821,1792264
822,1792228
823,1792192
824,1792157
825,1792121
826,1792086
827,1792050
828,1792015
829,1791979
830,1791944
831,1791909
832,1791873
833,1791838
834,1791802
835,1791767
836,1791732
837,1791697
838,1791661
839,1791626
840,1791591
841,1791556
842,1791520
843,1791485
844,1791450
845,1791415
846,1791380
847,1791345
848,1791310
849,1791275
850,1791240
851,1791205
852,1791170
853,1791135
854,1791100
855,1791065
856,1791030
857,1790995
858,1790960
859,1790925
860,1790890
861,1790856
862,1790821
863,1790786
864,1790751
865,1790716
866,1790682
867,1790647
868,1790612
869,1790578
870,1790543
871,1790508
872,1790474
873,1790439
874,1790405
875,1790370
876,1790336
877,1790301
878,1790267
879,1790232
880,1790198
881,1790163
882,1790129
883,1790094
884,1790060
885,1790026
886,1789991
887,1789957
888,1789923
889,1789888
890,1789854
891,1789820
892,1789786
893,1789751
894,1789717
895,1789683
896,1789649
897,1789615
898,1789581
899,1789547
900,1789512
901,1789478
902,1789444
903,1789410
904,1789376
905,1789342
906,1789308
907,1789274
908,1789240
909,1789207
910,1789173
911,1789139
912,1789105
913,1789071
914,1789037
915,1789003
916,1788970
917,1788936
918,1788902
919,1788868
920,1788835
921,1788801
922,1788767
923,1788733
924,1788700
925,1788666
926,1788633
927,1788599
928,1788565
929,1788532
930,1788498
931,1788465
932,1788431
933,1788398
934,1788364
935,1788331
936,1788297
937,1788264
938,1788230
939,1788197
940,1788164
941,1788130
942,1788097
943,1788064
944,1788030
945,1787997
946,1787964
947,1787930
948,1787897
949,1787864
950,1787831
951,1787797
952,1787764
953,1787731
954,1787698
955,1787665
956,1787632
957,1787599
958,1787566
959,1787532
960,1787499
961,1787466
962,1787433
963,1787400
964,1787367
965,1787334
966,1787301
967,1787268
968,1787236
969,1787203
970,1787170
971,1787137
972,1787104
973,1787071
974,1787038
975,1787006
976,1786973
977,1786940
978,1786907
979,1786874
980,1786842
981,1786809
982,1786776
983,1786744
984,1786711
985,1786678
986,1786646
987,1786613
988,1786581
989,1786548
990,1786515
991,1786483
992,1786450
993,1786418
994,1786385
995,1786353
996,1786320
997,1786288
998,1786255
999,1786223
1000,1786190
1001,1786158
1002,1786126
1003,1786093
1004,1786061
1005,1786029
1006,1785996
1007,1785964
1008,1785932
1009,1785899
1010,1785867
1011,1785835
1012,1785803
1013,1785771
1014,1785738
1015,1785706
1016,1785674
1017,1785642
1018,1785610
1019,1785578
1020,1785545
1021,1785513
1022,1785481
1023,1785449
1024,1785417
1025,1785385
1026,1785353
1027,1785321
1028,1785289
1029,1785257
1030,1785225
1031,1785193
1032,1785161
1033,1785129
1034,1785097
1035,1785066
1036,1785034
1037,1785002
1038,1784970
1039,1784938
1040,1784906
1041,1784875
1042,1784843
1043,1784811
1044,1784779
1045,1784748
1046,1784716
1047,1784684
1048,1784652
1049,1784621
1050,1784589
1051,1784557
1052,1784526
1053,1784494
1054,1784463
1055,1784431
1056,1784399
1057,1784368
1058,1784336
1059,1784305
1060,1784273
1061,1784242
1062,1784210
1063,1784179
1064,1784147
1065,1784116
1066,1784084
1067,1784053
1068,1784022
1069,1783990
1070,1783959
1071,1783927
1072,1783896
1073,1783865
1074,1783833
1075,1783802
1076,1783771
1077,1783739
1078,1783708
1079,1783677
1080,1783646
1081,1783614
1082,1783583
1083,1783552
1084,1783521
1085,1783490
1086,1783459
1087,1783427
1088,1783396
1089,1783365
1090,1783334
1091,1783303
1092,1783272
1093,1783241
1094,1783210
1095,1783179
1096,1783148
1097,1783117
1098,1783086
1099,1783055
1100,1783024
1101,1782993
1102,1782962
1103,1782931
1104,1782900
1105,1782869
1106,1782838
1107,1782807
1108,1782776
1109,1782746
1110,1782715
1111,1782684
1112,1782653
1113,1782622
1114,1782592
1115,1782561
1116,1782530
1117,1782499
1118,1782469
1119,1782438
1120,1782407
1121,1782376
1122,1782346
1123,1782315
1124,1782285
1125,1782254
1126,1782223
1127,1782193
1128,1782162
1129,1782131
1130,1782101
1131,1782070
1132,1782040
1133,1782009
1134,1781979
1135,1781948
1136,1781918
1137,1781887
1138,1781857
1139,1781826
1140,1781796
1141,1781765
1142,1781735
1143,1781705
1144,1781674
1145,1781644
1146,1781614
1147,1781583
1148,1781553
1149,1781522
1150,1781492
1151,1781462
1152,1781432
1153,1781401
1154,1781371
1155,1781341
1156,1781311
1157,1781280
1158,1781250
1159,1781220
1160,1781190
1161,1781160
1162,1781129
1163,1781099
1164,1781069
1165,1781039
1166,1781009
1167,1780979
1168,1780949
1169,1780919
1170,1780889
1171,1780858
1172,1780828
1173,1780798
1174,1780768
1175,1780738
1176,1780708
1177,1780678
1178,1780648
1179,1780619
1180,1780589
1181,1780559
1182,1780529
1183,1780499
1184,1780469
1185,1780439
1186,1780409
1187,1780379
1188,1780350
1189,1780320
1190,1780290
1191,1780260
1192,1780230
1193,1780200
1194,1780171
1195,1780141
1196,1780111
1197,1780081
1198,1780052
1199,1780022
1200,1779992
1201,1779963
1202,1779933
1203,1779903
1204,1779874
1205,1779844
1206,1779814
1207,1779785
1208,1779755
1209,1779726
1210,1779696
1211,1779666
1212,1779637
1213,1779607
1214,1779578
1215,1779548
1216,1779519
1217,1779489
1218,1779460
1219,1779430
1220,1779401
1221,1779371
1222,1779342
1223,1779313
1224,1779283
1225,1779254
1226,1779224
1227,1779195
1228,1779166
1229,1779136
1230,1779107
1231,1779078
1232,1779048
1233,1779019
1234,1778990
1235,1778960
1236,1778931
1237,1778902
1238,1778873
1239,1778843
1240,1778814
1241,1778785
1242,1778756
1243,1778727
1244,1778697
1245,1778668
1246,1778639
1247,1778610
1248,1778581
1249,1778552
1250,1778523
1251,1778493
1252,1778464
1253,1778435
1254,1778406
1255,1778377
1256,1778348
1257,1778319
1258,1778290
1259,1778261
1260,1778232
1261,1778203
1262,1778174
1263,1778145
1264,1778116
1265,1778087
1266,1778058
1267,1778029
1268,1778001
1269,1777972
1270,1777943
1271,1777914
1272,1777885
1273,1777856
1274,1777827
1275,1777798
1276,1777770
1277,1777741
1278,1777712
1279,1777683
1280,1777654
1281,1777626
1282,1777597
1283,1777568
1284,1777539
1285,1777511
1286,1777482
1287,1777453
1288,1777425
1289,1777396
1290,1777367
1291,1777339
1292,1777310
1293,1777281
1294,1777253
1295,1777224
1296,1777196
1297,1777167
1298,1777138
1299,1777110
1300,1777081
1301,1777053
1302,1777024
1303,1776996
1304,1776967
1305,1776939
1306,1776910
1307,1776882
1308,1776853
1309,1776825
1310,1776796
1311,1776768
1312,1776739
1313,1776711
1314,1776683
1315,1776654
1316,1776626
1317,1776597
1318,1776569
1319,1776541
1320,1776512
1321,1776484
1322,1776456
1323,1776427
1324,1776399
1325,1776371
1326,1776343
1327,1776314
1328,1776286
1329,1776258
1330,1776230
1331,1776201
1332,1776173
1333,1776145
1334,1776117
1335,1776089
1336,1776060
1337,1776032
1338,1776004
1339,1775976
1340,1775948
1341,1775920
1342,1775892
1343,1775864
1344,1775835
1345,1775807
1346,1775779
1347,1775751
1348,1775723
1349,1775695
1350,1775667
1351,1775639
1352,1775611
1353,1775583
1354,1775555
1355,1775527
1356,1775499
1357,1775471
1358,1775443
1359,1775415
1360,1775387
1361,1775360
1362,1775332
1363,1775304
1364,1775276
1365,1775248
1366,1775220
1367,1775192
1368,1775164
1369,1775137
1370,1775109
1371,1775081
1372,1775053
1373,1775025
1374,1774998
1375,1774970
1376,1774942
1377,1774914
1378,1774887
1379,1774859
1380,1774831
1381,1774803
1382,1774776
1383,1774748
1384,1774720
1385,1774693
1386,1774665
1387,1774637
1388,1774610
1389,1774582
1390,1774555
1391,1774527
1392,1774499
1393,1774472
1394,1774444
1395,1774417
1396,1774389
1397,1774361
1398,1774334
1399,1774306
1400,1774279
1401,1774251
1402,1774224
1403,1774196
1404,1774169
1405,1774141
1406,1774114
1407,1774087
1408,1774059
1409,1774032
1410,1774004
1411,1773977
1412,1773949
1413,1773922
1414,1773895
1415,1773867
1416,1773840
1417,1773813
1418,1773785
1419,1773758
1420,1773731
1421,1773703
1422,1773676
1423,1773649
1424,1773621
1425,1773594
1426,1773567
1427,1773540
1428,1773512
1429,1773485
1430,1773458
1431,1773431
1432,1773404
1433,1773376
1434,1773349
1435,1773322
1436,1773295
1437,1773268
1438,1773241
1439,1773213
1440,1773186
1441,1773159
1442,1773132
1443,1773105
1444,1773078
1445,1773051
1446,1773024
1447,1772997
1448,1772970
1449,1772943
1450,1772916
1451,1772889
1452,1772862
1453,1772835
1454,1772808
1455,1772781
1456,1772754
1457,1772727
1458,1772700
1459,1772673
1460,1772646
1461,1772619
1462,1772592
1463,1772565
1464,1772538
1465,1772511
1466,1772484
1467,1772458
1468,1772431
1469,1772404
1470,1772377
1471,1772350
1472,1772323
1473,1772297
1474,1772270
1475,1772243
1476,1772216
1477,1772189
1478,1772163
1479,1772136
1480,1772109
1481,1772082
1482,1772056
1483,1772029
1484,1772002
1485,1771976
1486,1771949
1487,1771922
1488,1771896
1489,1771869
1490,1771842
1491,1771816
1492,1771789
1493,1771762
1494,1771736
1495,1771709
1496,1771683
1497,1771656
1498,1771629
1499,1771603
1500,1771576
1501,1771550
1502,1771523
1503,1771497
1504,1771470
1505,1771444
1506,1771417
1507,1771391
1508,1771364
1509,1771338
1510,1771311
1511,1771285
1512,1771258
1513,1771232
1514,1771205
1515,1771179
1516,1771153
1517,1771126
1518,1771100
1519,1771073
1520,1771047
1521,1771021
1522,1770994
1523,1770968
1524,1770942
1525,1770915
1526,1770889
1527,1770863
1528,1770836
1529,1770810
1530,1770784
1531,1770757
1532,1770731
1533,1770705
1534,1770679
1535,1770652
1536,1770626
1537,1770600
1538,1770574
1539,1770548
1540,1770521
1541,1770495
1542,1770469
1543,1770443
1544,1770417
1545,1770391
1546,1770364
1547,1770338
1548,1770312
1549,1770286
1550,1770260
1551,1770234
1552,1770208
1553,1770182
1554,1770156
1555,1770130
1556,1770104
1557,1770077
1558,1770051
1559,1770025
1560,1769999
1561,1769973
1562,1769947
1563,1769921
1564,1769895
1565,1769869
1566,1769843
1567,1769818
1568,1769792
1569,1769766
1570,1769740
1571,1769714
1572,1769688
1573,1769662
1574,1769636
1575,1769610
1576,1769584
1577,1769558
1578,1769533
1579,1769507
1580,1769481
1581,1769455
1582,1769429
1583,1769403
1584,1769378
1585,1769352
1586,1769326
1587,1769300
1588,1769275
1589,1769249
1590,1769223
1591,1769197
1592,1769172
1593,1769146
1594,1769120
1595,1769094
1596,1769069
1597,1769043
1598,1769017
1599,1768992
1600,1768966
1601,1768940
1602,1768915
1603,1768889
1604,1768863
1605,1768838
1606,1768812
1607,1768787
1608,1768761
1609,1768735
1610,1768710
1611,1768684
1612,1768659
1613,1768633
1614,1768608
1615,1768582
1616,1768557
1617,1768531
1618,1768505
1619,1768480
1620,1768455
1621,1768429
1622,1768404
1623,1768378
1624,1768353
1625,1768327
1626,1768302
1627,1768276
1628,1768251
1629,1768225
1630,1768200
1631,1768175
1632,1768149
1633,1768124
1634,1768098
1635,1768073
1636,1768048
1637,1768022
1638,1767997
1639,1767972
1640,1767946
1641,1767921
1642,1767896
1643,1767871
1644,1767845
1645,1767820
1646,1767795
1647,1767769
1648,1767744
1649,1767719
1650,1767694
1651,1767668
1652,1767643
1653,1767618
1654,1767593
1655,1767568
1656,1767542
1657,1767517
1658,1767492
1659,1767467
1660,1767442
1661,1767417
1662,1767391
1663,1767366
1664,1767341
1665,1767316
1666,1767291
1667,1767266
1668,1767241
1669,1767216
1670,1767191
1671,1767166
1672,1767141
1673,1767115
1674,1767090
1675,1767065
1676,1767040
1677,1767015
1678,1766990
1679,1766965
1680,1766940
1681,1766915
1682,1766890
1683,1766865
1684,1766841
1685,1766816
1686,1766791
1687,1766766
1688,1766741
1689,1766716
1690,1766691
1691,1766666
1692,1766641
1693,1766616
1694,1766591
1695,1766567
1696,1766542
1697,1766517
1698,1766492
1699,1766467
1700,1766442
1701,1766418
1702,1766393
1703,1766368
1704,1766343
1705,1766318
1706,1766294
1707,1766269
1708,1766244
1709,1766219
1710,1766195
1711,1766170
1712,1766145
1713,1766120
1714,1766096
1715,1766071
1716,1766046
1717,1766022
1718,1765997
1719,1765972
1720,1765948
1721,1765923
1722,1765898
1723,1765874
1724,1765849
1725,1765824
1726,1765800
1727,1765775
1728,1765751
1729,1765726
1730,1765701
1731,1765677
1732,1765652
1733,1765628
1734,1765603
1735,1765579
1736,1765554
1737,1765530
1738,1765505
1739,1765481
1740,1765456
1741,1765432
1742,1765407
1743,1765383
1744,1765358
1745,1765334
1746,1765309
1747,1765285
1748,1765260
1749,1765236
1750,1765212
1751,1765187
1752,1765163
1753,1765138
1754,1765114
1755,1765090
1756,1765065
1757,1765041
1758,1765016
1759,1764992
1760,1764968
1761,1764943
1762,1764919
1763,1764895
1764,1764870
1765,1764846
1766,1764822
1767,1764798
1768,1764773
1769,1764749
1770,1764725
1771,1764701
1772,1764676
1773,1764652
1774,1764628
1775,1764604
1776,1764579
1777,1764555
1778,1764531
1779,1764507
1780,1764483
1781,1764458
1782,1764434
1783,1764410
1784,1764386
1785,1764362
1786,1764338
1787,1764314
1788,1764289
1789,1764265
1790,1764241
1791,1764217
1792,1764193
1793,1764169
1794,1764145
1795,1764121
1796,1764097
1797,1764073
1798,1764049
1799,1764025
1800,1764001
1801,1763977
1802,1763953
1803,1763929
1804,1763905
1805,1763881
1806,1763857
1807,1763833
1808,1763809
1809,1763785
1810,1763761
1811,1763737
1812,1763713
1813,1763689
1814,1763665
1815,1763641
1816,1763617
1817,1763593
1818,1763569
1819,1763546
1820,1763522
1821,1763498
1822,1763474
1823,1763450
1824,1763426
1825,1763402
1826,1763379
1827,1763355
1828,1763331
1829,1763307
1830,1763283
1831,1763260
1832,1763236
1833,1763212
1834,1763188
1835,1763165
1836,1763141
1837,1763117
1838,1763093
1839,1763070
1840,1763046
1841,1763022
1842,1762998
1843,1762975
1844,1762951
1845,1762927
1846,1762904
1847,1762880
1848,1762856
1849,1762833
1850,1762809
1851,1762785
1852,1762762
1853,1762738
1854,1762715
1855,1762691
1856,1762667
1857,1762644
1858,1762620
1859,1762597
1860,1762573
1861,1762550
1862,1762526
1863,1762502
1864,1762479
1865,1762455
1866,1762432
1867,1762408
1868,1762385
1869,1762361
1870,1762338
1871,1762314
1872,1762291
1873,1762267
1874,1762244
1875,1762220
1876,1762197
1877,1762174
1878,1762150
1879,1762127
1880,1762103
1881,1762080
1882,1762057
1883,1762033
1884,1762010
1885,1761986
1886,1761963
1887,1761940
1888,1761916
1889,1761893
1890,1761870
1891,1761846
1892,1761823
1893,1761800
1894,1761776
1895,1761753
1896,1761730
1897,1761706
1898,1761683
1899,1761660
1900,1761637
1901,1761613
1902,1761590
1903,1761567
1904,1761544
1905,1761520
1906,1761497
1907,1761474
1908,1761451
1909,1761428
1910,1761404
1911,1761381
1912,1761358
1913,1761335
1914,1761312
1915,1761288
1916,1761265
1917,1761242
1918,1761219
1919,1761196
1920,1761173
1921,1761150
1922,1761127
1923,1761104
1924,1761080
1925,1761057
1926,1761034
1927,1761011
1928,1760988
1929,1760965
1930,1760942
1931,1760919
1932,1760896
1933,1760873
1934,1760850
1935,1760827
1936,1760804
1937,1760781
1938,1760758
1939,1760735
1940,1760712
1941,1760689
1942,1760666
1943,1760643
1944,1760620
1945,1760597
1946,1760574
1947,1760551
1948,1760529
1949,1760506
1950,1760483
1951,1760460
1952,1760437
1953,1760414
1954,1760391
1955,1760368
1956,1760345
1957,1760323
1958,1760300
1959,1760277
1960,1760254
1961,1760231
1962,1760209
1963,1760186
1964,1760163
1965,1760140
1966,1760117
1967,1760095
1968,1760072
1969,1760049
1970,1760026
1971,1760004
1972,1759981
1973,1759958
1974,1759935
1975,1759913
1976,1759890
1977,1759867
1978,1759845
1979,1759822
1980,1759799
1981,1759776
1982,1759754
1983,1759731
1984,1759708
1985,1759686
1986,1759663
1987,1759641
1988,1759618
1989,1759595
1990,1759573
1991,1759550
1992,1759528
1993,1759505
1994,1759482
1995,1759460
1996,1759437
1997,1759415
1998,1759392
1999,1759370
2000,1759347
2001,1759325
2002,1759302
2003,1759280
2004,1759257
2005,1759234
2006,1759212
2007,1759190
2008,1759167
2009,1759145
2010,1759122
2011,1759100
2012,1759077
2013,1759055
2014,1759032
2015,1759010
2016,1758987
2017,1758965
2018,1758943
2019,1758920
2020,1758898
2021,1758875
2022,1758853
2023,1758831
2024,1758808
2025,1758786
2026,1758764
2027,1758741
2028,1758719
2029,1758697
2030,1758674
2031,1758652
2032,1758630
2033,1758607
2034,1758585
2035,1758563
2036,1758540
2037,1758518
2038,1758496
2039,1758474
2040,1758451
2041,1758429
2042,1758407
2043,1758385
2044,1758362
2045,1758340
2046,1758318
2047,1758296
2048,1758274
2049,1758251
2050,1758229
2051,1758207
2052,1758185
2053,1758163
2054,1758141
2055,1758118
2056,1758096
2057,1758074
2058,1758052
2059,1758030
2060,1758008
2061,1757986
2062,1757964
2063,1757942
2064,1757919
2065,1757897
2066,1757875
2067,1757853
2068,1757831
2069,1757809
2070,1757787
2071,1757765
2072,1757743
2073,1757721
2074,1757699
2075,1757677
2076,1757655
2077,1757633
2078,1757611
2079,1757589
2080,1757567
2081,1757545
2082,1757523
2083,1757501
2084,1757479
2085,1757457
2086,1757435
2087,1757413
2088,1757392
2089,1757370
2090,1757348
2091,1757326
2092,1757304
2093,1757282
2094,1757260
2095,1757238
2096,1757216
2097,1757195
2098,1757173
2099,1757151
2100,1757129
2101,1757107
2102,1757085
2103,1757064
2104,1757042
2105,1757020
2106,1756998
2107,1756976
2108,1756955
2109,1756933
2110,1756911
2111,1756889
2112,1756868
2113,1756846
2114,1756824
2115,1756802
2116,1756781
2117,1756759
2118,1756737
2119,1756715
2120,1756694
2121,1756672
2122,1756650
2123,1756629
2124,1756607
2125,1756585
2126,1756564
2127,1756542
2128,1756520
2129,1756499
2130,1756477
2131,1756456
2132,1756434
2133,1756412
2134,1756391
2135,1756369
2136,1756348
2137,1756326
2138,1756304
2139,1756283
