Time (s),Temperature (C)
5.45,36.8229162219081
5.5,36.7160771798654
5.55,36.6228146408289
5.6,36.5207261023122
5.65,36.4263424803626
5.7,36.323971063051
5.75,36.228158212011
5.8,36.1330820858365
5.85,36.0285258583936
5.9,35.9379521461133
5.95,35.8374290619236
6,35.7391072413375
6.05,35.6445085717983
6.1,35.548982444525
6.15,35.4436121250183
6.2,35.3585671580947
6.25,35.253599805926
6.3,35.1607984322863
6.35,35.0650551015937
6.4,34.9656460521779
6.45,34.8724936657329
6.5,34.7766189522524
6.55,34.6781743259311
6.6,34.5868588507462
6.65,34.4892246332219
6.7,34.3896252094194
6.75,34.3049747444524
6.8,34.1988834448902
6.85,34.1103870817576
6.9,34.0132939388182
6.95,33.9198654986901
7,33.8264192151199
7.05,33.7274115719108
7.1,33.6381562395809
7.15,33.5415028461283
7.2,33.4475284268581
7.25,33.3556520717509
7.3,33.26066133144
7.35,33.1642589088405
7.4,33.0784251511333
7.45,32.9776023643358
7.5,32.884964994833
7.55,32.799317633116
7.6,32.6966935424126
7.65,32.6113142068938
7.7,32.5148550986879
7.75,32.4221130164472
7.8,32.3315331831892
7.85,32.2395195516365
7.9,32.145873816734
7.95,32.0540534592473
8,31.9632928281629
8.05,31.8700667833026
8.1,31.7816215729178
8.15,31.6847854856844
8.2,31.5971013322873
8.25,31.5052850026979
8.3,31.4149828027807
8.35,31.3210561667135
8.4,31.2324474223676
8.45,31.1439964619237
8.5,31.046801504474
8.55,30.9625428740629
8.6,30.8695916298215
8.65,30.7810310127666
8.7,30.6862378400221
8.75,30.601351897796
8.8,30.5113967368691
8.85,30.4159343643549
8.9,30.331764620846
8.95,30.2430367840984
9,30.1478297490123
9.05,30.0649905101035
9.1,29.9726766774224
9.15,29.8816720896143
9.2,29.7959419408405
9.25,29.7086594549695
9.3,29.6133266567822
9.35,29.5336720642879
9.4,29.437729685076
9.45,29.3510909460871
9.5,29.2669499234983
9.55,29.1754454089638
9.6,29.0872410571043
9.65,29.0013414185366
9.7,28.9108701500179
9.75,28.8259828728309
9.8,28.7375585105168
9.85,28.6500838482302
9.9,28.5624256432648
9.95,28.4775651859805
10,28.385539295381
10.05,28.3051391719013
10.1,28.2135765983983
10.15,28.1296162609204
10.2,28.0401476143317
10.25,27.9556827740472
10.3,27.8709081170245
10.35,27.781936127896
10.4,27.6959886058656
10.45,27.61264555253
10.5,27.5249468169695
10.55,27.437732013278
10.6,27.3540634689503
10.65,27.2695394124671
10.7,27.1807865769367
10.75,27.1000681731697
10.8,27.0091648153704
10.85,26.9306302561206
10.9,26.8387487576676
10.95,26.7592351127535
11,26.6737872754125
11.05,26.5867191462152
11.1,26.5029963124796
11.15,26.4205389078326
11.2,26.3346793489572
11.25,26.2484391141914
11.3,26.1702497116342
11.35,26.0805070080261
11.4,25.9977695510322
11.45,25.9165304243463
11.5,25.8316447460649
11.55,25.7475879132534
11.6,25.6641752187166
11.65,25.5806333262163
11.7,25.4997863261422
11.75,25.4113673699395
11.8,25.3352112111733
11.85,25.247824499178
11.9,25.1663509015088
11.95,25.0822277913347
12,25.0043858102705
12.05,24.913825609029
12.1,24.8395209034459
12.15,24.7538419418973
12.2,24.6695852407419
12.25,24.5920524436219
12.3,24.5059204817095
12.35,24.427795355816
12.4,24.3418603389939
12.45,24.2651441092164
12.5,24.1791163394574
12.55,24.1021865189113
12.6,24.0153654506848
12.65,23.9398701016058
12.7,23.854448813226
12.75,23.7758763094075
12.8,23.6943030980532
12.85,23.6113384268374
12.9,23.5352451556264
12.95,23.4514042415694
13,23.3709795663484
13.05,23.2940937315217
13.1,23.2071743419967
13.15,23.1334487633199
13.2,23.0487795655974
13.25,22.9713667132355
13.3,22.892215351623
13.35,22.808671108082
13.4,22.7325852249588
13.45,22.653000160317
13.5,22.5694322190321
