Time (s),Temperature (C)
15,-1.75989316003802
15.05,-1.76028907278777
15.1,-1.76068562506089
15.15,-1.76110254182299
15.2,-1.76148069057439
15.25,-1.76189890057378
15.3,-1.76229808151066
15.35,-1.76269785225173
15.4,-1.7630982433223
15.45,-1.76349925686833
15.5,-1.76390089478735
15.55,-1.76432313601566
15.6,-1.76472611359668
15.65,-1.76512966776079
15.7,-1.7655338329933
15.75,-1.76593861061536
15.8,-1.76636413657326
15.85,-1.76677023897173
15.9,-1.76719710680584
15.95,-1.76760447216805
16,-1.76803265421518
16.05,-1.76842096261908
16.1,-1.7688706586564
16.15,-1.76926019050245
16.2,-1.76969088397925
16.25,-1.77012232644461
16.3,-1.77051354852881
16.35,-1.77096660085169
16.4,-1.77137953776543
16.45,-1.77179297412067
16.5,-1.772227540556
16.55,-1.77264221522273
16.6,-1.77305742329963
16.65,-1.77349385214637
16.7,-1.77388961354495
16.75,-1.77434791309537
16.8,-1.77476562275064
16.85,-1.77518382538551
16.9,-1.77562339030982
16.95,-1.77604282498629
17,-1.77648364503801
17.05,-1.77692515743894
17.1,-1.77734640007486
17.15,-1.77778910150721
17.2,-1.77823248250951
17.25,-1.7786554953438
17.3,-1.77907901471224
17.35,-1.77952414299256
17.4,-1.77996995315704
17.45,-1.78041640074173
17.5,-1.78084232536224
17.55,-1.78128992290681
17.6,-1.78173818523192
17.65,-1.78216583618655
17.7,-1.78261524348784
17.75,-1.78306531244084
17.8,-1.78349468002966
17.85,-1.78394588386033
17.9,-1.78439774557364
17.95,-1.78482882002584
18,-1.78530323414799
18.05,-1.78573552040092
18.1,-1.78621121519484
18.15,-1.78664465243361
18.2,-1.78712159762892
18.25,-1.78755616636977
18.3,-1.78801275812202
18.35,-1.78844834841721
18.4,-1.78892770414859
18.45,-1.78938615541693
18.5,-1.78982343856296
18.55,-1.79030463966632
18.6,-1.79072129690041
18.65,-1.79120362760221
18.7,-1.79166495265383
18.75,-1.79210497679014
18.8,-1.79258919391003
18.85,-1.79303037179727
18.9,-1.79351580769656
18.95,-1.79395808889416
19,-1.79444473291767
19.05,-1.7949101220276
19.1,-1.7953760333935
19.15,-1.79584250220307
19.2,-1.79630953054306
19.25,-1.79677711739049
19.3,-1.79724526415725
19.35,-1.79771396922507
19.4,-1.79818323254079
19.45,-1.79865305352627
19.5,-1.79912343095333
19.55,-1.7995720913438
19.6,-1.80008805833177
19.65,-1.80053793955125
19.7,-1.80103286334958
19.75,-1.80148374730794
19.8,-1.80197981604744
19.85,-1.8024317439328
19.9,-1.80292896257993
19.95,-1.80338193931311
20,-1.80388031071567
20.05,-1.80437940539252
20.1,-1.80483400238461
20.15,-1.80533413417163
20.2,-1.80581236576546
20.25,-1.80629108549908
20.3,-1.80677033438906
20.35,-1.80725011569842
20.4,-1.80773043209945
20.45,-1.80823401968348
20.5,-1.80871551241955
20.55,-1.80919748818246
20.6,-1.80970279898861
20.65,-1.81018592768572
20.7,-1.81066953150156
20.75,-1.81115365104921
20.8,-1.81166120316101
20.85,-1.81214646922109
20.9,-1.81263220642876
20.95,-1.81311845697525
21,-1.81362824072716
21.05,-1.81411563592548
21.1,-1.81462656561479
21.15,-1.81511504177524
21.2,-1.8156039755612
21.25,-1.81609341309468
21.3,-1.81658336409572
21.35,-1.81709701929231
21.4,-1.81756488161858
21.45,-1.81807957577342
21.5,-1.81857169873979
21.55,-1.81906429513947
21.6,-1.81958072144232
21.65,-1.82007445724889
21.7,-1.82059201914967
21.75,-1.82108682543628
21.8,-1.82160550228429
21.85,-1.82212480462414
21.9,-1.82259773814098
21.95,-1.82311797627324
22,-1.82363888413556
22.05,-1.82411328228017
22.1,-1.82463512967956
22.15,-1.82513406375733
22.2,-1.82563345179727
22.25,-1.82615697211878
22.3,-1.82665746745647
22.35,-1.82718209485614
22.4,-1.82768363662632
22.45,-1.82820935229887
22.5,-1.82871193044457
22.55,-1.82921494939734
22.6,-1.82974225863302
22.65,-1.83024636091204
22.7,-1.83075090570139
22.75,-1.83127981565002
22.8,-1.83178544942263
22.85,-1.83231545224072
22.9,-1.83282212270478
22.95,-1.83335320199637
23,-1.83386089780026
23.05,-1.83439305110477
23.1,-1.83490176555773
23.15,-1.83543497912677
23.2,-1.83592060122396
23.25,-1.83647887932693
23.3,-1.8369655313021
23.35,-1.83750078811198
23.4,-1.8380367051069
23.45,-1.83852474751939
23.5,-1.83906158077889
23.55,-1.83959908006432
23.6,-1.84013715089833
23.65,-1.84065146665273
23.7,-1.84116620004153
23.75,-1.84170575899367
23.8,-1.84222154666537
23.85,-1.8427621647873
23.9,-1.8433033891485
23.95,-1.84379624773709
24,-1.844362821564
24.05,-1.8448566863546
24.1,-1.84539985823989
24.15,-1.84591913721658
24.2,-1.84646341506863
